Month,Prov,Immig,Char,Sex,Age,No degree,Highschoolgraduate,Postsecondary,University,Above bachelor degree
11-Apr,Canada,  Total Landed immigrants,  Labour force,  Female,  25-64,122,277,532,646,210
11-Apr,Canada,  Total Landed immigrants,  Labour force,  Female,  55 Years +,54,75,116,116,44
11-Apr,Canada,  Total Landed immigrants,    Employment,  Male,15 Years +,166,308,523,748,302
11-Apr,Canada,  Total Landed immigrants,    Employment,  Male,  15-24,19,29,18,14,2
11-Apr,Canada,  Total Landed immigrants,    Employment,  Male,  25 Years +,147,278,505,733,300
11-Apr,Canada,  Total Landed immigrants,    Employment,  Male,  25-64,135,261,475,698,281
11-Apr,Canada,  Total Landed immigrants,    Employment,  Male,  55 Years +,48,75,131,161,79
11-Apr,Canada,  Total Landed immigrants,    Employment,  Female,15 Years +,137,282,536,632,204
11-Apr,Canada,  Total Landed immigrants,    Employment,  Female,  15-24,26,23,26,18,2
11-Apr,Canada,  Total Landed immigrants,    Employment,  Female,  25 Years +,111,259,510,613,202
11-Apr,Canada,  Total Landed immigrants,    Employment,  Female,  25-64,102,251,487,597,195
11-Apr,Canada,  Total Landed immigrants,    Employment,  Female,  55 Years +,47,72,109,110,41
11-Apr,Canada,  Total Landed immigrants,       Full-time employment,  Male,15 Years +,138,270,464,676,269
11-Apr,Canada,  Total Landed immigrants,       Full-time employment,  Male,  15-24,7,17,11,11,0
11-Apr,Canada,  Total Landed immigrants,       Full-time employment,  Male,  25 Years +,131,253,453,665,268
11-Apr,Canada,  Total Landed immigrants,       Full-time employment,  Male,  25-64,122,243,432,641,256
11-Apr,Canada,  Total Landed immigrants,       Full-time employment,  Male,  55 Years +,40,63,107,138,66
11-Apr,Canada,  Total Landed immigrants,       Full-time employment,  Female,15 Years +,93,213,414,495,162
11-Apr,Canada,  Total Landed immigrants,       Full-time employment,  Female,  15-24,5,7,15,13,0
11-Apr,Canada,  Total Landed immigrants,       Full-time employment,  Female,  25 Years +,88,206,399,482,161
11-Apr,Canada,  Total Landed immigrants,       Full-time employment,  Female,  25-64,84,202,390,473,156
11-Apr,Canada,  Total Landed immigrants,       Full-time employment,  Female,  55 Years +,35,54,76,80,31
11-Apr,Canada,  Total Landed immigrants,       Part-time employment,  Male,15 Years +,28,38,59,72,33
11-Apr,Canada,  Total Landed immigrants,       Part-time employment,  Male,  15-24,12,12,7,4,0
11-Apr,Canada,  Total Landed immigrants,       Part-time employment,  Male,  25 Years +,15,25,52,68,32
11-Apr,Canada,  Total Landed immigrants,       Part-time employment,  Male,  25-64,12,18,42,56,25
11-Apr,Canada,  Total Landed immigrants,       Part-time employment,  Male,  55 Years +,8,12,25,23,13
11-Apr,Canada,  Total Landed immigrants,       Part-time employment,  Female,15 Years +,44,69,122,137,42
11-Apr,Canada,  Total Landed immigrants,       Part-time employment,  Female,  15-24,22,16,11,5,0
11-Apr,Canada,  Total Landed immigrants,       Part-time employment,  Female,  25 Years +,23,53,111,132,42
11-Apr,Canada,  Total Landed immigrants,       Part-time employment,  Female,  25-64,18,49,98,124,39
11-Apr,Canada,  Total Landed immigrants,       Part-time employment,  Female,  55 Years +,11,18,33,30,11
11-Apr,Canada,  Total Landed immigrants,    Unemployment,  Male,15 Years +,32,30,46,56,19
11-Apr,Canada,  Total Landed immigrants,    Unemployment,  Male,  15-24,8,4,3,0,0
11-Apr,Canada,  Total Landed immigrants,    Unemployment,  Male,  25 Years +,24,26,43,55,19
11-Apr,Canada,  Total Landed immigrants,    Unemployment,  Male,  25-64,24,25,41,54,18
11-Apr,Canada,  Total Landed immigrants,    Unemployment,  Male,  55 Years +,10,4,12,13,5
11-Apr,Canada,  Total Landed immigrants,    Unemployment,  Female,15 Years +,28,29,48,52,17
11-Apr,Canada,  Total Landed immigrants,    Unemployment,  Female,  15-24,8,4,3,2,0
11-Apr,Canada,  Total Landed immigrants,    Unemployment,  Female,  25 Years +,20,26,46,50,16
11-Apr,Canada,  Total Landed immigrants,    Unemployment,  Female,  25-64,20,26,45,50,15
11-Apr,Canada,  Total Landed immigrants,    Unemployment,  Female,  55 Years +,7,3,6,7,3
11-Apr,Canada,  Total Landed immigrants,  Not in labour force,  Male,15 Years +,304,161,241,206,84
11-Apr,Canada,  Total Landed immigrants,  Not in labour force,  Male,  15-24,67,16,11,4,0
11-Apr,Canada,  Total Landed immigrants,  Not in labour force,  Male,  25 Years +,238,145,231,203,83
11-Apr,Canada,  Total Landed immigrants,  Not in labour force,  Male,  25-64,59,61,82,94,37
11-Apr,Canada,  Total Landed immigrants,  Not in labour force,  Male,  55 Years +,207,114,192,148,62
11-Apr,Canada,  Total Landed immigrants,  Not in labour force,  Female,15 Years +,485,337,311,265,75
11-Apr,Canada,  Total Landed immigrants,  Not in labour force,  Female,  15-24,62,24,14,8,0
11-Apr,Canada,  Total Landed immigrants,  Not in labour force,  Female,  25 Years +,423,313,297,256,75
11-Apr,Canada,  Total Landed immigrants,  Not in labour force,  Female,  25-64,129,163,165,189,55
11-Apr,Canada,  Total Landed immigrants,  Not in labour force,  Female,  55 Years +,361,213,191,104,27
11-Apr,Canada,  Total Landed immigrants,Unemployment rate,  Male,15 Years +,16,9,8,7,6
11-Apr,Canada,  Total Landed immigrants,Unemployment rate,  Male,  15-24,28,13,14,0,0
11-Apr,Canada,  Total Landed immigrants,Unemployment rate,  Male,  25 Years +,14,8,8,7,6
11-Apr,Canada,  Total Landed immigrants,Unemployment rate,  Male,  25-64,15,9,8,7,6
11-Apr,Canada,  Total Landed immigrants,Unemployment rate,  Male,  55 Years +,18,5,8,7,6
11-Apr,Canada,  Total Landed immigrants,Unemployment rate,  Female,15 Years +,17,10,8,8,8
11-Apr,Canada,  Total Landed immigrants,Unemployment rate,  Female,  15-24,24,13,9,10,0
11-Apr,Canada,  Total Landed immigrants,Unemployment rate,  Female,  25 Years +,15,9,8,8,7
11-Apr,Canada,  Total Landed immigrants,Unemployment rate,  Female,  25-64,17,9,9,8,7
11-Apr,Canada,  Total Landed immigrants,Unemployment rate,  Female,  55 Years +,13,4,6,6,6
11-Apr,Canada,  Total Landed immigrants,Employment rate,  Male,15 Years +,33,62,65,74,75
11-Apr,Canada,  Total Landed immigrants,Employment rate,  Male,  15-24,21,59,57,77,71
11-Apr,Canada,  Total Landed immigrants,Employment rate,  Male,  25 Years +,36,62,65,74,75
11-Apr,Canada,  Total Landed immigrants,Employment rate,  Male,  25-64,62,75,79,83,84
11-Apr,Canada,  Total Landed immigrants,Employment rate,  Male,  55 Years +,18,39,39,50,54
11-Apr,Canada,  Total Landed immigrants,Employment rate,  Female,15 Years +,21,43,60,67,69
11-Apr,Canada,  Total Landed immigrants,Employment rate,  Female,  15-24,27,45,61,64,58
11-Apr,Canada,  Total Landed immigrants,Employment rate,  Female,  25 Years +,20,43,60,67,69
11-Apr,Canada,  Total Landed immigrants,Employment rate,  Female,  25-64,41,57,70,71,74
11-Apr,Canada,  Total Landed immigrants,Employment rate,  Female,  55 Years +,11,25,36,50,58
11-Apr,Canada,  Non-landed immigrants,  Labour force,  Male,15 Years +,12,30,43,74,29
11-Apr,Canada,  Non-landed immigrants,  Labour force,  Male,  15-24,2,8,3,7,0
11-Apr,Canada,  Non-landed immigrants,  Labour force,  Male,  25 Years +,10,23,39,67,29
11-Apr,Canada,  Non-landed immigrants,  Labour force,  Male,  25-64,9,23,39,66,28
11-Apr,Canada,  Non-landed immigrants,  Labour force,  Male,  55 Years +,2,3,2,8,5
11-Apr,Canada,  Non-landed immigrants,  Labour force,  Female,15 Years +,8,25,41,54,18
11-Apr,Canada,  Non-landed immigrants,  Labour force,  Female,  15-24,4,4,3,5,0
11-Apr,Canada,  Non-landed immigrants,  Labour force,  Female,  25 Years +,4,22,38,49,17
11-Apr,Canada,  Non-landed immigrants,  Labour force,  Female,  25-64,4,20,38,49,16
11-Apr,Canada,  Non-landed immigrants,  Labour force,  Female,  55 Years +,0,3,6,4,2
11-Apr,Canada,  Non-landed immigrants,    Employment,  Male,15 Years +,11,27,40,70,29
11-Apr,Canada,  Non-landed immigrants,    Employment,  Male,  15-24,2,6,3,7,0
11-Apr,Canada,  Non-landed immigrants,    Employment,  Male,  25 Years +,9,21,37,64,28
11-Apr,Canada,  Non-landed immigrants,    Employment,  Male,  25-64,8,21,37,63,28
11-Apr,Canada,  Non-landed immigrants,    Employment,  Male,  55 Years +,0,2,2,7,5
11-Apr,Canada,  Non-landed immigrants,    Employment,  Female,15 Years +,7,22,38,52,17
11-Apr,Canada,  Non-landed immigrants,    Employment,  Female,  15-24,3,3,3,5,0
11-Apr,Canada,  Non-landed immigrants,    Employment,  Female,  25 Years +,4,19,36,47,16
11-Apr,Canada,  Non-landed immigrants,    Employment,  Female,  25-64,3,19,36,47,16
11-Apr,Canada,  Non-landed immigrants,    Employment,  Female,  55 Years +,0,2,6,4,2
11-Apr,Canada,  Non-landed immigrants,       Full-time employment,  Male,15 Years +,9,24,37,61,25
11-Apr,Canada,  Non-landed immigrants,       Full-time employment,  Male,  15-24,0,4,2,5,0
11-Apr,Canada,  Non-landed immigrants,       Full-time employment,  Male,  25 Years +,8,20,34,56,24
11-Apr,Canada,  Non-landed immigrants,       Full-time employment,  Male,  25-64,7,20,34,56,24
11-Apr,Canada,  Non-landed immigrants,       Full-time employment,  Male,  55 Years +,0,2,2,6,4
11-Apr,Canada,  Non-landed immigrants,       Full-time employment,  Female,15 Years +,4,18,33,42,14
11-Apr,Canada,  Non-landed immigrants,       Full-time employment,  Female,  15-24,0,2,2,4,0
11-Apr,Canada,  Non-landed immigrants,       Full-time employment,  Female,  25 Years +,3,16,31,39,13
11-Apr,Canada,  Non-landed immigrants,       Full-time employment,  Female,  25-64,2,16,31,38,13
11-Apr,Canada,  Non-landed immigrants,       Full-time employment,  Female,  55 Years +,0,2,4,2,0
11-Apr,Canada,  Non-landed immigrants,       Part-time employment,  Male,15 Years +,2,4,4,9,4
11-Apr,Canada,  Non-landed immigrants,       Part-time employment,  Male,  15-24,0,2,0,2,-
11-Apr,Canada,  Non-landed immigrants,       Part-time employment,  Male,  25 Years +,0,2,3,8,4
11-Apr,Canada,  Non-landed immigrants,       Part-time employment,  Male,  25-64,0,2,3,7,4
11-Apr,Canada,  Non-landed immigrants,       Part-time employment,  Male,  55 Years +,0,-,0,0,0
11-Apr,Canada,  Non-landed immigrants,       Part-time employment,  Female,15 Years +,3,4,6,9,4
11-Apr,Canada,  Non-landed immigrants,       Part-time employment,  Female,  15-24,2,0,0,0,0
11-Apr,Canada,  Non-landed immigrants,       Part-time employment,  Female,  25 Years +,0,3,5,8,3
11-Apr,Canada,  Non-landed immigrants,       Part-time employment,  Female,  25-64,0,3,5,8,3
11-Apr,Canada,  Non-landed immigrants,       Part-time employment,  Female,  55 Years +,-,0,2,2,0
11-Apr,Canada,  Non-landed immigrants,    Unemployment,  Male,15 Years +,0,3,3,3,0
11-Apr,Canada,  Non-landed immigrants,    Unemployment,  Male,  15-24,0,0,-,0,-
11-Apr,Canada,  Non-landed immigrants,    Unemployment,  Male,  25 Years +,0,2,3,3,0
11-Apr,Canada,  Non-landed immigrants,    Unemployment,  Male,  25-64,0,2,3,3,0
11-Apr,Canada,  Non-landed immigrants,    Unemployment,  Male,  55 Years +,0,0,0,0,0
11-Apr,Canada,  Non-landed immigrants,    Unemployment,  Female,15 Years +,0,3,2,3,0
11-Apr,Canada,  Non-landed immigrants,    Unemployment,  Female,  15-24,0,0,-,0,-
11-Apr,Canada,  Non-landed immigrants,    Unemployment,  Female,  25 Years +,0,2,2,2,0
11-Apr,Canada,  Non-landed immigrants,    Unemployment,  Female,  25-64,0,0,2,2,0
11-Apr,Canada,  Non-landed immigrants,    Unemployment,  Female,  55 Years +,0,0,0,0,-
11-Apr,Canada,  Non-landed immigrants,  Not in labour force,  Male,15 Years +,16,15,11,22,6
11-Apr,Canada,  Non-landed immigrants,  Not in labour force,  Male,  15-24,10,6,2,4,0
11-Apr,Canada,  Non-landed immigrants,  Not in labour force,  Male,  25 Years +,6,9,10,18,5
11-Apr,Canada,  Non-landed immigrants,  Not in labour force,  Male,  25-64,2,7,7,15,5
11-Apr,Canada,  Non-landed immigrants,  Not in labour force,  Male,  55 Years +,4,4,4,5,0
11-Apr,Canada,  Non-landed immigrants,  Not in labour force,  Female,15 Years +,25,18,17,25,7
11-Apr,Canada,  Non-landed immigrants,  Not in labour force,  Female,  15-24,10,7,3,3,0
11-Apr,Canada,  Non-landed immigrants,  Not in labour force,  Female,  25 Years +,15,11,15,23,6
11-Apr,Canada,  Non-landed immigrants,  Not in labour force,  Female,  25-64,8,8,12,20,5
11-Apr,Canada,  Non-landed immigrants,  Not in labour force,  Female,  55 Years +,8,6,5,5,0
11-Apr,Canada,  Non-landed immigrants,Unemployment rate,  Male,15 Years +,0,9,6,4,0
11-Apr,Canada,  Non-landed immigrants,Unemployment rate,  Male,  15-24,0,0,-,0,-
11-Apr,Canada,  Non-landed immigrants,Unemployment rate,  Male,  25 Years +,0,7,7,4,0
11-Apr,Canada,  Non-landed immigrants,Unemployment rate,  Male,  25-64,0,7,7,4,0
11-Apr,Canada,  Non-landed immigrants,Unemployment rate,  Male,  55 Years +,0,0,0,0,0
11-Apr,Canada,  Non-landed immigrants,Unemployment rate,  Female,15 Years +,0,11,5,5,0
11-Apr,Canada,  Non-landed immigrants,Unemployment rate,  Female,  15-24,0,0,-,0,-
11-Apr,Canada,  Non-landed immigrants,Unemployment rate,  Female,  25 Years +,0,11,6,5,0
11-Apr,Canada,  Non-landed immigrants,Unemployment rate,  Female,  25-64,0,0,6,5,0
11-Apr,Canada,  Non-landed immigrants,Unemployment rate,  Female,  55 Years +,0,0,0,0,-
11-Apr,Canada,  Non-landed immigrants,Employment rate,  Male,15 Years +,39,61,74,74,81
11-Apr,Canada,  Non-landed immigrants,Employment rate,  Male,  15-24,17,47,69,60,0
11-Apr,Canada,  Non-landed immigrants,Employment rate,  Male,  25 Years +,56,66,75,76,83
11-Apr,Canada,  Non-landed immigrants,Employment rate,  Male,  25-64,69,73,78,78,84
11-Apr,Canada,  Non-landed immigrants,Employment rate,  Male,  55 Years +,0,35,38,62,82
11-Apr,Canada,  Non-landed immigrants,Employment rate,  Female,15 Years +,20,52,66,65,70
11-Apr,Canada,  Non-landed immigrants,Employment rate,  Female,  15-24,22,30,46,62,0
11-Apr,Canada,  Non-landed immigrants,Employment rate,  Female,  25 Years +,19,58,68,65,71
11-Apr,Canada,  Non-landed immigrants,Employment rate,  Female,  25-64,28,67,71,68,75
11-Apr,Canada,  Non-landed immigrants,Employment rate,  Female,  55 Years +,0,22,54,44,61
11-Apr,Ontario,  Total Landed immigrants,  Labour force,  Male,15 Years +,106,183,307,421,173
11-Apr,Ontario,  Total Landed immigrants,  Labour force,  Male,  15-24,12,16,11,9,0
11-Apr,Ontario,  Total Landed immigrants,  Labour force,  Male,  25 Years +,94,167,297,411,172
11-Apr,Ontario,  Total Landed immigrants,  Labour force,  Male,  25-64,87,155,277,391,161
11-Apr,Ontario,  Total Landed immigrants,  Labour force,  Male,  55 Years +,34,48,88,93,42
11-Apr,Ontario,  Total Landed immigrants,  Labour force,  Female,15 Years +,87,172,303,378,127
11-Apr,Ontario,  Total Landed immigrants,  Labour force,  Female,  15-24,14,16,14,11,2
11-Apr,Ontario,  Total Landed immigrants,  Labour force,  Female,  25 Years +,74,156,289,367,126
11-Apr,Ontario,  Total Landed immigrants,  Labour force,  Female,  25-64,67,151,273,355,121
11-Apr,Ontario,  Total Landed immigrants,  Labour force,  Female,  55 Years +,33,41,71,66,23
11-Apr,Ontario,  Total Landed immigrants,    Employment,  Male,15 Years +,90,167,284,391,163
11-Apr,Ontario,  Total Landed immigrants,    Employment,  Male,  15-24,9,14,9,9,0
11-Apr,Ontario,  Total Landed immigrants,    Employment,  Male,  25 Years +,81,153,275,382,162
11-Apr,Ontario,  Total Landed immigrants,    Employment,  Male,  25-64,75,142,256,363,152
11-Apr,Ontario,  Total Landed immigrants,    Employment,  Male,  55 Years +,29,47,80,86,39
11-Apr,Ontario,  Total Landed immigrants,    Employment,  Female,15 Years +,78,157,275,351,119
11-Apr,Ontario,  Total Landed immigrants,    Employment,  Female,  15-24,11,14,12,11,2
11-Apr,Ontario,  Total Landed immigrants,    Employment,  Female,  25 Years +,67,143,263,340,117
11-Apr,Ontario,  Total Landed immigrants,    Employment,  Female,  25-64,61,138,248,328,112
11-Apr,Ontario,  Total Landed immigrants,    Employment,  Female,  55 Years +,31,41,67,62,22
11-Apr,Ontario,  Total Landed immigrants,       Full-time employment,  Male,15 Years +,76,148,255,361,148
11-Apr,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  15-24,3,9,7,7,0
11-Apr,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  25 Years +,73,139,248,354,148
11-Apr,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  25-64,68,133,236,341,143
11-Apr,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  55 Years +,25,38,65,74,32
11-Apr,Ontario,  Total Landed immigrants,       Full-time employment,  Female,15 Years +,54,116,220,280,97
11-Apr,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  15-24,2,3,7,7,0
11-Apr,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  25 Years +,53,113,213,273,96
11-Apr,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  25-64,50,111,206,266,93
11-Apr,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  55 Years +,22,29,46,46,16
11-Apr,Ontario,  Total Landed immigrants,       Part-time employment,  Male,15 Years +,14,20,28,30,14
11-Apr,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  15-24,6,6,2,2,0
11-Apr,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  25 Years +,8,14,26,28,14
11-Apr,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  25-64,7,9,20,23,10
11-Apr,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  55 Years +,4,8,15,11,7
11-Apr,Ontario,  Total Landed immigrants,       Part-time employment,  Female,15 Years +,24,41,56,70,22
11-Apr,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  15-24,9,11,5,3,0
11-Apr,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  25 Years +,15,30,51,67,21
11-Apr,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  25-64,11,26,42,62,20
11-Apr,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  55 Years +,9,11,21,17,6
11-Apr,Ontario,  Total Landed immigrants,    Unemployment,  Male,15 Years +,16,16,24,30,11
11-Apr,Ontario,  Total Landed immigrants,    Unemployment,  Male,  15-24,3,2,2,0,0
11-Apr,Ontario,  Total Landed immigrants,    Unemployment,  Male,  25 Years +,13,14,22,29,10
11-Apr,Ontario,  Total Landed immigrants,    Unemployment,  Male,  25-64,13,14,21,28,9
11-Apr,Ontario,  Total Landed immigrants,    Unemployment,  Male,  55 Years +,5,2,8,8,4
11-Apr,Ontario,  Total Landed immigrants,    Unemployment,  Female,15 Years +,9,16,28,28,9
11-Apr,Ontario,  Total Landed immigrants,    Unemployment,  Female,  15-24,3,3,2,0,-
11-Apr,Ontario,  Total Landed immigrants,    Unemployment,  Female,  25 Years +,6,13,26,27,9
11-Apr,Ontario,  Total Landed immigrants,    Unemployment,  Female,  25-64,6,13,25,27,8
11-Apr,Ontario,  Total Landed immigrants,    Unemployment,  Female,  55 Years +,3,0,4,4,0
11-Apr,Ontario,  Total Landed immigrants,  Not in labour force,  Male,15 Years +,178,91,133,104,44
11-Apr,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  15-24,40,12,4,3,0
11-Apr,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  25 Years +,138,80,129,101,44
11-Apr,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  25-64,35,31,45,48,21
11-Apr,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  55 Years +,123,63,108,77,32
11-Apr,Ontario,  Total Landed immigrants,  Not in labour force,  Female,15 Years +,288,201,177,135,41
11-Apr,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  15-24,39,14,5,6,0
11-Apr,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  25 Years +,249,186,171,129,41
11-Apr,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  25-64,72,103,94,98,31
11-Apr,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  55 Years +,218,121,112,52,13
11-Apr,Ontario,  Total Landed immigrants,Unemployment rate,  Male,15 Years +,15,9,8,7,6
11-Apr,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  15-24,26,14,14,0,0
11-Apr,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  25 Years +,14,8,7,7,6
11-Apr,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  25-64,15,9,8,7,6
11-Apr,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  55 Years +,13,3,9,8,9
11-Apr,Ontario,  Total Landed immigrants,Unemployment rate,  Female,15 Years +,11,9,9,7,7
11-Apr,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  15-24,23,15,12,0,-
11-Apr,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  25 Years +,9,9,9,7,7
11-Apr,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  25-64,9,9,9,8,7
11-Apr,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  55 Years +,8,0,5,6,0
11-Apr,Ontario,  Total Landed immigrants,Employment rate,  Male,15 Years +,32,61,65,75,75
11-Apr,Ontario,  Total Landed immigrants,Employment rate,  Male,  15-24,17,50,63,75,0
11-Apr,Ontario,  Total Landed immigrants,Employment rate,  Male,  25 Years +,35,62,65,75,75
11-Apr,Ontario,  Total Landed immigrants,Employment rate,  Male,  25-64,61,76,79,83,83
11-Apr,Ontario,  Total Landed immigrants,Employment rate,  Male,  55 Years +,19,42,41,50,52
11-Apr,Ontario,  Total Landed immigrants,Employment rate,  Female,15 Years +,21,42,57,68,71
11-Apr,Ontario,  Total Landed immigrants,Employment rate,  Female,  15-24,20,45,63,63,80
11-Apr,Ontario,  Total Landed immigrants,Employment rate,  Female,  25 Years +,21,42,57,69,71
11-Apr,Ontario,  Total Landed immigrants,Employment rate,  Female,  25-64,44,54,68,72,74
11-Apr,Ontario,  Total Landed immigrants,Employment rate,  Female,  55 Years +,12,25,37,53,62
11-Apr,Ontario,  Non-landed immigrants,  Labour force,  Male,15 Years +,4,11,14,21,8
11-Apr,Ontario,  Non-landed immigrants,  Labour force,  Male,  15-24,0,3,2,4,-
11-Apr,Ontario,  Non-landed immigrants,  Labour force,  Male,  25 Years +,3,7,13,17,8
11-Apr,Ontario,  Non-landed immigrants,  Labour force,  Male,  25-64,3,7,13,17,8
11-Apr,Ontario,  Non-landed immigrants,  Labour force,  Male,  55 Years +,0,0,2,4,3
11-Apr,Ontario,  Non-landed immigrants,  Labour force,  Female,15 Years +,2,11,16,21,8
11-Apr,Ontario,  Non-landed immigrants,  Labour force,  Female,  15-24,0,2,0,0,-
11-Apr,Ontario,  Non-landed immigrants,  Labour force,  Female,  25 Years +,2,9,15,21,8
11-Apr,Ontario,  Non-landed immigrants,  Labour force,  Female,  25-64,0,8,15,21,8
11-Apr,Ontario,  Non-landed immigrants,  Labour force,  Female,  55 Years +,0,2,4,2,2
11-Apr,Ontario,  Non-landed immigrants,    Employment,  Male,15 Years +,4,10,14,19,8
11-Apr,Ontario,  Non-landed immigrants,    Employment,  Male,  15-24,0,3,2,3,-
11-Apr,Ontario,  Non-landed immigrants,    Employment,  Male,  25 Years +,3,7,12,15,8
11-Apr,Ontario,  Non-landed immigrants,    Employment,  Male,  25-64,3,7,12,15,8
11-Apr,Ontario,  Non-landed immigrants,    Employment,  Male,  55 Years +,0,0,2,4,3
11-Apr,Ontario,  Non-landed immigrants,    Employment,  Female,15 Years +,2,10,15,20,8
11-Apr,Ontario,  Non-landed immigrants,    Employment,  Female,  15-24,0,2,0,0,-
11-Apr,Ontario,  Non-landed immigrants,    Employment,  Female,  25 Years +,0,8,14,20,8
11-Apr,Ontario,  Non-landed immigrants,    Employment,  Female,  25-64,0,8,14,20,8
11-Apr,Ontario,  Non-landed immigrants,    Employment,  Female,  55 Years +,0,0,3,2,2
11-Apr,Ontario,  Non-landed immigrants,       Full-time employment,  Male,15 Years +,3,8,12,16,7
11-Apr,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  15-24,0,2,0,3,-
11-Apr,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  25 Years +,3,6,11,13,7
11-Apr,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  25-64,3,6,11,13,7
11-Apr,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  55 Years +,0,0,2,4,2
11-Apr,Ontario,  Non-landed immigrants,       Full-time employment,  Female,15 Years +,0,8,13,18,7
11-Apr,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  15-24,0,0,0,0,-
11-Apr,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  25 Years +,0,7,12,17,7
11-Apr,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  25-64,0,7,12,17,7
11-Apr,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  55 Years +,0,0,2,0,0
11-Apr,Ontario,  Non-landed immigrants,       Part-time employment,  Male,15 Years +,0,2,2,3,0
11-Apr,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  15-24,0,0,0,0,-
11-Apr,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  25 Years +,-,0,0,2,0
11-Apr,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  25-64,-,0,0,2,0
11-Apr,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  55 Years +,-,-,0,0,0
11-Apr,Ontario,  Non-landed immigrants,       Part-time employment,  Female,15 Years +,0,0,2,2,0
11-Apr,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  15-24,0,0,0,-,-
11-Apr,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  25 Years +,0,0,2,2,0
11-Apr,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  25-64,0,0,2,2,0
11-Apr,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  55 Years +,-,-,0,0,0
11-Apr,Ontario,  Non-landed immigrants,    Unemployment,  Male,15 Years +,0,0,0,2,-
11-Apr,Ontario,  Non-landed immigrants,    Unemployment,  Male,  15-24,0,0,-,0,-
11-Apr,Ontario,  Non-landed immigrants,    Unemployment,  Male,  25 Years +,0,0,0,2,-
11-Apr,Ontario,  Non-landed immigrants,    Unemployment,  Male,  25-64,0,0,0,2,-
11-Apr,Ontario,  Non-landed immigrants,    Unemployment,  Male,  55 Years +,-,0,-,-,-
11-Apr,Ontario,  Non-landed immigrants,    Unemployment,  Female,15 Years +,0,0,0,0,0
11-Apr,Ontario,  Non-landed immigrants,    Unemployment,  Female,  15-24,0,-,-,-,-
11-Apr,Ontario,  Non-landed immigrants,    Unemployment,  Female,  25 Years +,0,0,0,0,0
11-Apr,Ontario,  Non-landed immigrants,    Unemployment,  Female,  25-64,0,-,0,0,0
11-Apr,Ontario,  Non-landed immigrants,    Unemployment,  Female,  55 Years +,0,0,0,-,-
11-Apr,Ontario,  Non-landed immigrants,  Not in labour force,  Male,15 Years +,5,7,6,6,0
11-Apr,Ontario,  Non-landed immigrants,  Not in labour force,  Male,  15-24,3,2,0,0,-
11-Apr,Ontario,  Non-landed immigrants,  Not in labour force,  Male,  25 Years +,3,5,5,5,0
11-Apr,Ontario,  Non-landed immigrants,  Not in labour force,  Male,  25-64,0,4,4,4,0
11-Apr,Ontario,  Non-landed immigrants,  Not in labour force,  Male,  55 Years +,0,2,2,2,0
